product_id,category,sub_category,product_name,price,original_price,discount,reviews_count,brand,images,stock,f_assured,seller,seller_rating,return_policy,description,specifications,avg_rating
1,accessories,Autres,Étui à lunettes de lecture rigide boîte de lunettes de soleil dur vintage,292.53,662.24,56,173,Baban,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3E/58/f78ed1f3-ab99-4d36-883b-45cc66c50935.jpg,"Hurry, Only 2 left!",1,Turner-Cole,1.5,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",4.49
2,accessories,Baseball Caps,Casquette de baseball de sport en plein air de coton,864.36,1894.1,54,15,NUZADA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/75/ED/a5d64bcc-5b22-4c64-a225-9dc915d2ea6f.jpg,"Hurry, Only 2 left!",0,Johnson LLC,0.5,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",2.43
3,accessories,Baseball Caps,Casquettes de Baseball Respirantes Unisexe Parasol,926.1,1426.64,35,51,NUZADA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/0D/A5/f4995527-22b0-4952-aab4-aa1a74655531.jpg,"Hurry, Only 3 left!",0,Booker Group,2.0,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",2.59
4,accessories,Baseball Caps,NUZADA Casquette de baseball à impression originale,827.61,1750.77,53,36,NUZADA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/49/1A/719f27a5-273c-4fea-9595-267a59f47333.jpg,"Hurry, Only 5 left!",1,"Wagner, Williams and Drake",1.0,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",3.54
5,accessories,Baseball Caps,Casquette à motif de pivoines de lotus style pivoine de style chinois,1157.62,2141.05,46,56,NUZADA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/84/FB/e29842f8-4d84-43fe-847b-416c5bbceca9.jpg,"Hurry, Only 7 left!",0,"Tucker, Jones and Thomas",0.5,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",1.98
6,accessories,Baseball Caps,NUZADA Casquette de baseball ajustable en coton pour papa ,970.2,1739.74,44,32,NUZADA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/68/11/6f9c3eaf-1a39-4f7a-883a-8c9cc6b41453.jpg,"Hurry, Only 1 left!",0,Hunter PLC,4.0,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",4.0
7,accessories,Baseball Caps,Casquette de baseball imprimée,1372.98,2570.3,47,30,NUZADA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/D9/19/fb0fc467-b871-47da-bb0e-9ddbbd36fefc.jpg,"Hurry, Only 6 left!",1,"Yoder, Armstrong and Ritter",4.0,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",4.84
8,accessories,Baseball Caps,Casquette respirante pour homme,1142.19,2100.63,46,14,NUZADA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/93/4F/6df7ee31-a734-4038-99ec-8e0444c67f9e.jpg,"Hurry, Only 4 left!",1,Doyle-Smith,0.5,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",4.58
9,accessories,Baseball Caps,Casquette de baseball en feutre pour homme,1077.51,2019.04,47,21,NUZADA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/D7/C9/d35a8ed9-99b8-4452-bb9c-1a5e3f5dffa9.jpg,"Hurry, Only 6 left!",0,Gibson and Sons,2.5,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",2.71
10,accessories,Baseball Caps,Lotus 3D Impression Graffiti Casquettes de baseball ,1309.77,2033.74,36,21,NUZADA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/5C/82/04c1aa95-733a-4913-935a-e50263cf0a8e.JPG,"Hurry, Only 5 left!",1,Drake LLC,3.0,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",3.68
11,accessories,Baseball Caps,NUZADA Casquette de baseball ajustable pour homme,1203.2,2078.58,42,20,NUZADA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/D6/4F/8e6e3415-76af-4a61-be88-d13d691d4fb5.jpg,"Hurry, Only 7 left!",1,"Dunn, Day and Bell",0.5,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",0.76
12,accessories,Beanie Hat,Chapeau d'hiver des femmes,707.07,1686.09,58,9, XLOONG,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/27/DB/7145fd4c-22ae-4416-920a-b0eca212fd46.JPG,"Hurry, Only 5 left!",1,"Rogers, Rosales and Zavala",2.0,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",0.45
13,accessories,Beanie Hat,Bonnet Femme en Coton à Rayures,918.02,1891.89,52,7277,GOTALENTS,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/1B/DA/5b1c47ef-9d15-4218-8fde-42eecd3c082a.jpg,"Hurry, Only 1 left!",1,Horton-Nguyen,2.0,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",4.72
14,accessories,Beanie Hat,Bonnet Vogue en Coton Unisexe,833.49,1870.58,55,16,NUZADA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C7/7C/b28354da-e38d-485b-a5db-49b4dc8fca38.jpeg,"Hurry, Only 5 left!",1,"Barnett, Morales and Perry",5.0,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",4.42
15,accessories,Beanie Hat,Bonnet de neige unisexe en laine et poils de lapin,1086.33,2531.34,57,24,NUZADA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/E4/0E/424d8dfd-02cd-49e1-8e5e-f1707e47488a.JPG,"Hurry, Only 7 left!",1,"Gomez, Stephenson and Howard",4.0,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",1.21
16,accessories,Beanie Hat,Chapeaux décontractés multicolores pour femmes,1741.22,3658.1,52,130,Socofy-1,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/E9/91/33053e92-7399-4fa7-8e49-247e86a20d5e.jpg,"Hurry, Only 7 left!",1,"Martin, Vargas and Moore",3.0,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",3.75
17,accessories,Beanie Hat,Bandeau bonnet vintage ethnique avec broderie florale,3197.25,5764.6,45,273,duni,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/31/B0/073024ef-5db9-45c8-9a2a-8f4ecca43593.jpeg,"Hurry, Only 3 left!",1,Mueller PLC,5.0,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",0.54
18,accessories,Boutons de manchettes,Hommes Montre Motif Boutons De Manchette Mécanique Nu Mariage Cadeau Costume Chemise Accessoires,2031.54,3905.79,48,247,Baban,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/18/23/8fe7d30c-69a0-43f7-83d5-88e35afceee1.jpg,"Hurry, Only 2 left!",1,Jones and Sons,3.5,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",3.95
